mod_id,mod_installed_name,mod_version,file_installed_name
53059,"HD Dark brotherhood door","1.0.0.0","Darkbrotherhood door retexture-53059-1-0.rar"
21120,"Heavy Armory","2.4.0.0B","C:/Users/David/Downloads/Heavy Armory.7z"
42616,"Heimfeigr","1.8.0.0","Heimfeigr 1.8-42616-1-8.zip"
35841,"Helgen Reborn","105.3.0.0","Helgen Reborn V105_3-35841-105-3.7z"
43493,"Hold Border Banners","1.0.0.0","Hold Border Banners-43493-1-0.rar"
743,"HQ Snow Texture","2.7.1.0","HQ Snow Texture 2_7_1 2048 Loose-743-2-7-1.rar"
19733,"Immersive Armors","7.1.0.0","Immersive Armors v7_1-19733-7-1.7z"
3222,"Immersive HUD","3.0.3.0","Immersive HUD - iHUD-3222-3-0-03.rar"
61441,"Immersive Idiots - Roderick Redbeard","f1.03","Roderick Redbeard 1.03-61441-1-03.rar"
64283,"Immersive Jewelry","f1.01Rel","Immersive Jewelry V1.01 Full Release-64283-V1-01Rel.rar"
12977,"Immersive Patrols","2.0.2.0","Immersive Patrols Unaggressive No Battles-12977-2-0-2.7z"
27644,"Immersive Weapons","1.5.0.0","Immersive Weapons-27644-1-5.7z"
2674,"Improved NPC Clothing - High Res","1.8.1.0","INPCC_Expansion pack_1_1-2674.rar"
36334,"Inconsequential NPCs","1.9.0.0e","Inconsequential NPCs 1 dot 9e-36334-1-9e.rar"
40960,"Inigo Follower","2.0.0.0","INIGO V2.0-40960-2-0.zip"
23916,"Invisibility Eyes Fix","d2016.6.9","C:/Users/David/Downloads/Invisibility Eyes Fix v2-23916-2-0.zip"
49743,"JContainers","3.2.3.0","JContainers-49743-3-2-3.zip"
18916,"Lanterns of Skyrim","2.5.0.0","Lanterns Of Skyrim - All In One - RLO-18916-.rar"
52248,"Legacy of the Dragonborn","14.11.0.0","C:/Users/David/Downloads/LegacyV15.3Core2K-52248/04a - IWIA/DBM_IWIA_Patch.7z"
35154,"Less Intrusive HUD II","1.1.0.0","Less Intrusive Hud - Main files-35154-1-1.rar"
55677,"Loot and Degradation","1.31.0.0","Loot and Degradation v1_31-55677-1-31.7z"
50471,"Memory Blocks Log","1.2.0.0","MemoryBlockLog-50471-1-2.zip"
44596,"Mfg Console","1.1.0.0","MfgConsole-44596-1-1.zip"
69610,"Moonshimmer Mine","0.9.3.0","Moonshimmer Mine v.0.9.2-69610-0-9-3.7z"
48869,"More Interesting Loot for Skyrim","5.7.0.0","More Interesting Loot for Skyrim v5_7-48869-5-7.7z"
30164,"Natural Grass Texture Floor","1.0.0.0","Natural Grass Texture Floor-30164-1-0.zip"
46885,"Nerevars - Cloaks of Skyrim Ultra HD v2","2.1.0.0","Nerevars - Cloaks of Skyrim Ultra HD v2-46885-.7z"
8429,"Nernies Thief Pack","f1.031","Nernie's Thief Pack patch-8429-.7z"
12625,"No Boring Sleep-Wait Menu","1.4.0.0","noboringsleepwaitmenu-12625-1-4.7z"
4548,"No Combat Music","1.2.0.0","No Combat Music V1_2-4548-1-2.7z"
40425,"No Enchantment Restrictions","1.0.0.0","No Enchantment Restrictions v1-0-0-40425-1-0.7z"
40706,"OneTweak","2.0.1.3","OneTweak-40706-2-0-1-3.7z"
57353,"Optimized Base Game Textures","4.1.0.0","Optimized Base Game Textures for MO Users-57353-4-1.7z"
57353,"Optimized Dawnguard Textures","4.1.0.0","Optimized Dawnguard Textures for MO Users-57353-4-1.7z"
57353,"Optimized Dragonborn Textures","4.1.0.0","Optimized Dragonborn Textures for MO Users-57353-4-1.7z"
57353,"Optimized HearthFires Textures","4.1.0.0","Optimized HearthFires Textures for MO Users-57353-4-1.7z"
57353,"Optimized HighRes DLC Textures","4.1.0.0","Optimized High Res DLC Standard Part 3-57353-4-1.7z"
58705,"PapyrusUtil - Modders Scripting Utility Functions","3.0.0.0","PapyrusUtil v3.0-58705-.zip"
25029,"Perseids Inns and Taverns - Realistic Room Rental Enhanced","1.8.3.0","RealisticRoomRental-Basic-25029-1-7.7z"
1450,"Plynxs No Motion Sickness","0.91.0.0","PlynxsNoMotionSickness v0_91-1450.zip"
26228,"Realistic Needs and Diseases","1.9.10.0","RealisticNeedsandDiseases-26228-1-9-10.7z"
42492,"Realistic Sun for ENB240+","3.0.0.0","Realistic Sun and Sunglare - ENB Edition-42492-3-0.rar"
67663,"Religion - Prayer and Meditation","f1.02","Religion 1.02-67663-1-02.rar"
68036,"Religion CCF Patch",".1","Religion CCF Patch-68036--1.7z"
50327,"Ren's HD Shrines by Rengel","2.0.0.0","Rens HD Shrines - Ultimate-50327-2-0.rar"
40491,"Revenge Of the Enemies 2016","d2016.6.9","C:/Users/David/Downloads/Revenge Of the Enemies 2016 2.2-40491-2-2.zip"
63766,"Rustic Soulgems","1.0.0.0","RUSTIC SOULGEMS 2K-63766-1-0.zip"
13687,"Sabre Gear Backpack","2.0.0.0a","Sabre Gear Backpacks v2a-13687-2-0a.zip"
46465,"Safety Load","1.2.0.0","SafetyLoad 1_2-46465-1-2.zip"
23431,"Sell Unusual Gems - Stones of Barenziah","1.0.0.0","Sell Stones of Barenziah-23431-1-0.zip"
16134,"Shadowmarks for Player Homes","1.1.0.0","Shadowmarks for Player Homes-16134-1-1.7z"
0,"SKSE 1.07.03 Scripts","d2015.7.21","D:/Downloads/skse_1_07_03/skse_1_07_03/Data/SKSE 1.07.03 Scripts.7z"
0,"SKSE Memory Patch","d2015.9.29","C:/Users/David/Desktop/SKSE Memory Patch.7z"
58366,"SKY CITY - Markarth Rising","3.1.0.0","SKY CITY -58366-3-1.rar"
54349,"Skygazer Moons - Masser and Secunda Ultra HD 4K (2K and 1K) Moon Textures","1.0.0.0","(2K) Skygazer Moons - Masser and Secunda HD Moons by fadingsignal-54349-1-0.rar"
48526,"SkyRealism - Shiny - Amulets and Rings","1.2.0.0","Amulets and Rings-48526-1-1.7z"
48526,"SkyRealism - Shiny - Ancient Nord Weapons and Armor","1.2.0.0","Ancient Nord Weapons and Armor-48526-1-0.7z"
48526,"SkyRealism - Shiny - Blades Weapons and Armor","1.2.0.0","Blades Weapons and Armor-48526-1-2.7z"
48526,"SkyRealism - Shiny - Daedric Weapons and Armor","1.2.0.0","Daedric Weapons and Armor-48526-1-2.7z"
